=========================================================================================
🔍 VAKU 3.0: MRI SKALPOLÓ DIAGNOSZTIKA (5m ALAP + 1m DEEP DIVE)
=========================================================================================

Fájl: mock_tick_data.csv
Feldolgozott adat: 5,000 tick | Időtartam: 1.06 óra

SZABÁLY: A rendszer 5 perces időszeleteket listáz ki. Ha egy 5 perces szakaszban anomália
történik (Fagyás > 5s VAGY Bármilyen HFT Burst), az algoritmus rázoomol (Deep Dive),
és alatta 1-perces felbontásban is kilistázza a kritikus esemény pontos helyét.

Időszak            | Tickek   | P50(T/s) | P90(T/s) | Max Fagyás(s) | >2s Fagyások | HFT Burst(>20T)
-------------------------------------------------------------------------------------------------------
2026-01-01 09:00   | 379      | 1.2      | 5.7      | 1.5           | 0            | 12 🔥
  ↳ 2026-01-01 09:00 | 73       | 1.2      | 6.9      | 1.5           | 0            | 4 🔥
  ↳ 2026-01-01 09:01 | 83       | 1.4      | 4.8      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:02 | 63       | 0.9      | 2.5      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:03 | 83       | 1.3      | 6.4      | 1.5           | 0            | 2 🔥
  ↳ 2026-01-01 09:04 | 77       | 1.2      | 5.6      | 1.4           | 0            | 4 🔥
2026-01-01 09:05   | 368      | 1.2      | 5.1      | 1.5           | 0            | 10 🔥
  ↳ 2026-01-01 09:05 | 79       | 1.2      | 4.4      | 1.4           | 0            | 3 🔥
  ↳ 2026-01-01 09:06 | 72       | 1.2      | 3.7      | 1.5           | 0            | 2 🔥
  ↳ 2026-01-01 09:07 | 77       | 1.3      | 7.1      | 1.5           | 0            | 2 🔥
  ↳ 2026-01-01 09:08 | 69       | 1.1      | 4.5      | 1.5           | 0            | 2 🔥
  ↳ 2026-01-01 09:09 | 71       | 1.1      | 5.5      | 1.5           | 0            | 1 🔥
2026-01-01 09:10   | 417      | 1.4      | 9.1      | 1.5           | 0            | 16 🔥
  ↳ 2026-01-01 09:10 | 81       | 1.3      | 8.8      | 1.5           | 0            | 2 🔥
  ↳ 2026-01-01 09:11 | 87       | 1.4      | 9.7      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:12 | 82       | 1.4      | 10.3     | 1.5           | 0            | 5 🔥
  ↳ 2026-01-01 09:13 | 85       | 1.5      | 9.3      | 1.5           | 0            | 5 🔥
  ↳ 2026-01-01 09:14 | 82       | 1.2      | 6.7      | 1.5           | 0            | 3 🔥
2026-01-01 09:15   | 385      | 1.2      | 7.3      | 1.5           | 0            | 14 🔥
  ↳ 2026-01-01 09:15 | 72       | 1.1      | 5.3      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:16 | 73       | 1.1      | 6.3      | 1.5           | 0            | 2 🔥
  ↳ 2026-01-01 09:17 | 80       | 1.3      | 11.1     | 1.4           | 0            | 4 🔥
  ↳ 2026-01-01 09:18 | 86       | 1.4      | 12.5     | 1.5           | 0            | 5 🔥
  ↳ 2026-01-01 09:19 | 74       | 1.2      | 3.9      | 1.5           | 0            | 2 🔥
2026-01-01 09:20   | 392      | 1.3      | 7.0      | 1.5           | 0            | 21 🔥
  ↳ 2026-01-01 09:20 | 81       | 1.3      | 5.9      | 1.5           | 0            | 4 🔥
  ↳ 2026-01-01 09:21 | 76       | 1.2      | 6.3      | 1.5           | 0            | 5 🔥
  ↳ 2026-01-01 09:22 | 78       | 1.4      | 3.8      | 1.5           | 0            | 4 🔥
  ↳ 2026-01-01 09:23 | 74       | 1.1      | 4.6      | 1.5           | 0            | 2 🔥
  ↳ 2026-01-01 09:24 | 83       | 1.3      | 9.7      | 1.5           | 0            | 6 🔥
2026-01-01 09:25   | 377      | 1.2      | 6.0      | 1.5           | 0            | 12 🔥
  ↳ 2026-01-01 09:25 | 84       | 1.4      | 6.9      | 1.5           | 0            | 5 🔥
  ↳ 2026-01-01 09:26 | 73       | 1.1      | 4.7      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:27 | 69       | 1.0      | 3.1      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:28 | 78       | 1.3      | 6.6      | 1.5           | 0            | 2 🔥
  ↳ 2026-01-01 09:29 | 73       | 1.2      | 6.2      | 1.5           | 0            | 3 🔥
2026-01-01 09:30   | 419      | 1.5      | 6.3      | 1.5           | 0            | 6 🔥
  ↳ 2026-01-01 09:30 | 79       | 1.4      | 4.9      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:31 | 81       | 1.3      | 6.3      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:33 | 92       | 1.7      | 8.6      | 1.5           | 0            | 3 🔥
  ↳ 2026-01-01 09:34 | 85       | 1.5      | 5.8      | 1.5           | 0            | 1 🔥
2026-01-01 09:35   | 400      | 1.4      | 5.2      | 1.5           | 0            | 10 🔥
  ↳ 2026-01-01 09:35 | 75       | 1.2      | 6.0      | 1.5           | 0            | 2 🔥
  ↳ 2026-01-01 09:36 | 86       | 1.4      | 6.8      | 1.5           | 0            | 2 🔥
  ↳ 2026-01-01 09:37 | 72       | 1.1      | 4.8      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:38 | 92       | 1.6      | 5.8      | 1.5           | 0            | 4 🔥
  ↳ 2026-01-01 09:39 | 75       | 1.2      | 4.0      | 1.5           | 0            | 1 🔥
2026-01-01 09:40   | 388      | 1.3      | 5.2      | 1.5           | 0            | 6 🔥
  ↳ 2026-01-01 09:40 | 87       | 1.6      | 5.4      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:41 | 74       | 1.2      | 3.6      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:42 | 81       | 1.4      | 5.3      | 1.5           | 0            | 2 🔥
  ↳ 2026-01-01 09:44 | 70       | 1.1      | 7.4      | 1.5           | 0            | 2 🔥
2026-01-01 09:45   | 399      | 1.3      | 6.0      | 1.5           | 0            | 10 🔥
  ↳ 2026-01-01 09:46 | 82       | 1.4      | 7.3      | 1.5           | 0            | 4 🔥
  ↳ 2026-01-01 09:47 | 71       | 1.1      | 5.2      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:48 | 75       | 1.1      | 4.5      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:49 | 88       | 1.5      | 8.5      | 1.5           | 0            | 4 🔥
2026-01-01 09:50   | 396      | 1.4      | 5.3      | 1.5           | 0            | 9 🔥
  ↳ 2026-01-01 09:50 | 77       | 1.6      | 4.3      | 1.5           | 0            | 3 🔥
  ↳ 2026-01-01 09:51 | 82       | 1.3      | 6.8      | 1.5           | 0            | 3 🔥
  ↳ 2026-01-01 09:52 | 82       | 1.4      | 7.0      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:53 | 81       | 1.4      | 4.5      | 1.4           | 0            | 2 🔥
2026-01-01 09:55   | 407      | 1.4      | 6.9      | 1.5           | 0            | 10 🔥
  ↳ 2026-01-01 09:55 | 85       | 1.7      | 7.1      | 1.5           | 0            | 4 🔥
  ↳ 2026-01-01 09:56 | 74       | 1.2      | 4.9      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:57 | 83       | 1.4      | 6.8      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:58 | 81       | 1.3      | 7.7      | 1.5           | 0            | 1 🔥
  ↳ 2026-01-01 09:59 | 84       | 1.5      | 6.6      | 1.5           | 0            | 3 🔥
2026-01-01 10:00   | 272      | 1.4      | 4.9      | 1.5           | 0            | 4 🔥
  ↳ 2026-01-01 10:00 | 84       | 1.5      | 5.1      | 1.5           | 0            | 2 🔥
  ↳ 2026-01-01 10:02 | 81       | 1.4      | 6.8      | 1.5           | 0            | 2 🔥
